0,1,2,3,4,5,6
Frank Ocean,spotify:artist:2h93pZq0e7k5yf4dywlkpM,In My Room,spotify:album:71VX8yv9T2hNIYVZJVUWVp,2019-11-02,In My Room,spotify:track:4S4Mfvv03M1cHgIOJcbUCL
Noname,spotify:artist:1EpyA68dKpjf7jXmQL88Hy,Telefone,spotify:album:18Scpsg5OV1iYNtSaCsjwz,2016-08-12,Sunny Duet (feat. the Mind),spotify:track:1ZEpge1j4gAi4R7pU9oor5
The Mind,spotify:artist:10V21ykJFLM14zMmdNawQG,Telefone,spotify:album:18Scpsg5OV1iYNtSaCsjwz,2016-08-12,Sunny Duet (feat. the Mind),spotify:track:1ZEpge1j4gAi4R7pU9oor5
Noname,spotify:artist:1EpyA68dKpjf7jXmQL88Hy,Room 25,spotify:album:7oHM3Sj0l2nXAzGAxW0KOt,2018-09-14,no name,spotify:track:6i8ipO7mcVtmuNCa1uCGk9
Yaw,spotify:artist:2FCaqWY5zfEHpVySPf5qAD,Room 25,spotify:album:7oHM3Sj0l2nXAzGAxW0KOt,2018-09-14,no name,spotify:track:6i8ipO7mcVtmuNCa1uCGk9
Adam Ness,spotify:artist:0v6Ds0fKi8I8tip1YbvaJh,Room 25,spotify:album:7oHM3Sj0l2nXAzGAxW0KOt,2018-09-14,no name,spotify:track:6i8ipO7mcVtmuNCa1uCGk9
JID,spotify:artist:6U3ybJ9UHNKEdsH7ktGBZ7,DiCaprio 2,spotify:album:2oI6gtIXrvNiL2VEMmj5kY,2018-11-26,151 Rum,spotify:track:22WV03i2lBbwNVCE1g671p
Smino,spotify:artist:1ybINI1qPiFbwDXamRtwxD,NOIR,spotify:album:5rVlqi2fHOmWB764N8PsWF,2018-11-08,KLINK,spotify:track:6tdAmfHEd4cXEkNbCMgOP9
Noname,spotify:artist:1EpyA68dKpjf7jXmQL88Hy,Song 31,spotify:album:1EcKdLqFqu9tThIMVkpwEd,2019-01-01,Song 31,spotify:track:5jEHZAJlxIf6bK9LkKnRH0
Phoelix,spotify:artist:2TKC2gVUNBUAlFqfLUoaj0,Song 31,spotify:album:1EcKdLqFqu9tThIMVkpwEd,2019-01-01,Song 31,spotify:track:5jEHZAJlxIf6bK9LkKnRH0
Daniel Caesar,spotify:artist:20wkVLutqVOYrc0kxFs7rA,Who Hurt You?,spotify:album:15M9pZ8gsdoN67yLjyQ039,2018-10-16,Who Hurt You?,spotify:track:23c9gmiiv7RCu7twft0Mym
Noname,spotify:artist:1EpyA68dKpjf7jXmQL88Hy,Telefone,spotify:album:18Scpsg5OV1iYNtSaCsjwz,2016-08-12,"Shadow Man (feat. Phoelix, Smino & Saba)",spotify:track:1h2LHhmyAXi8tPNLi806JA
Phoelix,spotify:artist:2TKC2gVUNBUAlFqfLUoaj0,Telefone,spotify:album:18Scpsg5OV1iYNtSaCsjwz,2016-08-12,"Shadow Man (feat. Phoelix, Smino & Saba)",spotify:track:1h2LHhmyAXi8tPNLi806JA
Smino,spotify:artist:1ybINI1qPiFbwDXamRtwxD,Telefone,spotify:album:18Scpsg5OV1iYNtSaCsjwz,2016-08-12,"Shadow Man (feat. Phoelix, Smino & Saba)",spotify:track:1h2LHhmyAXi8tPNLi806JA
Saba,spotify:artist:7Hjbimq43OgxaBRpFXic4x,Telefone,spotify:album:18Scpsg5OV1iYNtSaCsjwz,2016-08-12,"Shadow Man (feat. Phoelix, Smino & Saba)",spotify:track:1h2LHhmyAXi8tPNLi806JA
Jeremy Zucker,spotify:artist:3gIRvgZssIb9aiirIg0nI3,brent,spotify:album:16mjtcKPxpQ4ajFHmJ0hJC,2019-05-03,hello old friend,spotify:track:5W5CraIGgWjWocoPMMT8Ph
Chelsea Cutler,spotify:artist:5JMLG56F1X5mFmWNmS0iAp,brent,spotify:album:16mjtcKPxpQ4ajFHmJ0hJC,2019-05-03,hello old friend,spotify:track:5W5CraIGgWjWocoPMMT8Ph
Saba,spotify:artist:7Hjbimq43OgxaBRpFXic4x,There You Go,spotify:album:6OObIGDZfZvg3jFebYG8xV,2017-08-16,There You Go,spotify:track:1hU6EU9G10DTdedmU3DHi7
Bryson Tiller,spotify:artist:2EMAnMvWE2eb56ToJVfCWs,T R A P S O U L,spotify:album:6eZdwrhB97A3EYx9QppGfl,2015-10-02,Let Em' Know,spotify:track:5QDGKcQLqOJvoiu8eScEaM
Daniel Caesar,spotify:artist:20wkVLutqVOYrc0kxFs7rA,Freudian,spotify:album:3xybjP7r2VsWzwvDQipdM0,2017-08-25,Transform (feat. Charlotte Day Wilson),spotify:track:1jQfgl9WRle7D8a3GXLwaD
Charlotte Day Wilson,spotify:artist:3GQboECxDT1xqPPWC30p7v,Freudian,spotify:album:3xybjP7r2VsWzwvDQipdM0,2017-08-25,Transform (feat. Charlotte Day Wilson),spotify:track:1jQfgl9WRle7D8a3GXLwaD
Nai Palm,spotify:artist:5X0dCi2aVnYEV27S8wgQdF,Needle Paw,spotify:album:4b6uW0x09FkRSqadcioB1u,2017-10-20,Crossfire / So Into You,spotify:track:2VsKJODsXzU1NtoFYIh9FM
Kendrick Lamar,spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg,untitled unmastered.,spotify:album:0kL3TYRsSXnu0iJvFO3rud,2016-03-04,untitled 05 | 09.21.2014.,spotify:track:3V8vWoCbKbfjNrPaQ4YtSg
blackbear,spotify:artist:2cFrymmkijnjDg9SS92EPM,digital druglord,spotify:album:30QoUTsSdpQuZunPNFsLnm,2017-04-21,i miss the old u,spotify:track:1nMYtxDrONcoGnKRvxTwPv
Saba,spotify:artist:7Hjbimq43OgxaBRpFXic4x,CARE FOR ME,spotify:album:6Te111t5gDZ7W94myHRqUt,2018-04-05,LIFE,spotify:track:3au0pvHqcTtszysswan6AO
blackbear,spotify:artist:2cFrymmkijnjDg9SS92EPM,digital druglord,spotify:album:30QoUTsSdpQuZunPNFsLnm,2017-04-21,if i could i would feel nothing,spotify:track:7pF0xW7MH9Tucfpb1Oys0R
Saba,spotify:artist:7Hjbimq43OgxaBRpFXic4x,CARE FOR ME,spotify:album:6Te111t5gDZ7W94myHRqUt,2018-04-05,GREY,spotify:track:3ym9gIBrWP3LKjiH2kxyr5
Daniel Caesar,spotify:artist:20wkVLutqVOYrc0kxFs7rA,Freudian,spotify:album:3xybjP7r2VsWzwvDQipdM0,2017-08-25,Freudian,spotify:track:4nESnAOALHmxg8UFCCtXhO
Bas,spotify:artist:70gP6Ry4Uo0Yx6uzPIdaiJ,Spilled Milk 1,spotify:album:5L0fqBCRKpkOHDNiwTgJbZ,2019-08-09,Fried Rice (with JID),spotify:track:5ismU0nq9mjhseSq1pLcuZ
JID,spotify:artist:6U3ybJ9UHNKEdsH7ktGBZ7,Spilled Milk 1,spotify:album:5L0fqBCRKpkOHDNiwTgJbZ,2019-08-09,Fried Rice (with JID),spotify:track:5ismU0nq9mjhseSq1pLcuZ
Mereba,spotify:artist:294lNTPZfdqyzt8qnxmFiL,The Jungle Is The Only Way Out,spotify:album:40L9yPrh6yD1ECI3ofNfPc,2019-02-27,Sandstorm (feat. JID),spotify:track:1NlWBpNYAnFT7gMGyC0Y1M
JID,spotify:artist:6U3ybJ9UHNKEdsH7ktGBZ7,The Jungle Is The Only Way Out,spotify:album:40L9yPrh6yD1ECI3ofNfPc,2019-02-27,Sandstorm (feat. JID),spotify:track:1NlWBpNYAnFT7gMGyC0Y1M
Frank Ocean,spotify:artist:2h93pZq0e7k5yf4dywlkpM,Blonde,spotify:album:3mH6qwIy9crq0I9YQbOuDf,2016-08-20,Close To You,spotify:track:1VZLEW5ZfcAbKZ94XQiSZF
SZA,spotify:artist:7tYKF4w9nC0nq9CsPZTHyP,Good Days,spotify:album:781cKhbTPwLnPmo9BALQl7,2020-12-25,Good Days,spotify:track:3YJJjQPAbDT7mGpX3WtQ9A
Smino,spotify:artist:1ybINI1qPiFbwDXamRtwxD,NOIR,spotify:album:5rVlqi2fHOmWB764N8PsWF,2018-11-08,VERIZON,spotify:track:7KlM4piqWaxB69tvnhlrns
Daniel Caesar,spotify:artist:20wkVLutqVOYrc0kxFs7rA,Freudian,spotify:album:3xybjP7r2VsWzwvDQipdM0,2017-08-25,Neu Roses (Transgressor's Song),spotify:track:3SPfACAarZmNEF45erapCY
Kendrick Lamar,spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg,DAMN.,spotify:album:4eLPsYPBmXABThSJ821sqY,2017-04-14,DNA.,spotify:track:6HZILIRieu8S0iqY8kIKhj
kuru,spotify:artist:1KJ5ZZBncdHtz60i3fiQYu,clueless,spotify:album:6gtMMyI4wfLnfEDvtYNQpg,2020-07-04,clueless,spotify:track:2PlrJupGTWvgVlGXSK95Me
kurtains,spotify:artist:7b2FbxYmnpGMPqDe04QmyP,clueless,spotify:album:6gtMMyI4wfLnfEDvtYNQpg,2020-07-04,clueless,spotify:track:2PlrJupGTWvgVlGXSK95Me
Daniel Caesar,spotify:artist:20wkVLutqVOYrc0kxFs7rA,Pilgrim's Paradise,spotify:album:4uP43hIpmEEDuW7aOfiU2C,2015-11-12,Show No Regret,spotify:track:1GfwrTKOzOxK2cfPcrMyuP
JPEGMAFIA,spotify:artist:6yJ6QQ3Y5l0s0tn7b0arrO,Veteran,spotify:album:51WLEfPEEkzAWurvuY6Gco,2018-01-19,Panic Emoji,spotify:track:3dtcO1yeG1FhLkcg5WN5kj
Terrace Martin,spotify:artist:7MNEVabc4cs19CbzAFZmXz,Velvet Portraits,spotify:album:4PCIOf8X75vWdD1PbLpg3c,2016-04-01,"Curly Martin (feat. Robert Glasper, Thundercat & Ronald Bruner Jr)",spotify:track:7zmzkaT8Fakbh8mnXI1xcs
Robert Glasper,spotify:artist:5cM1PvItlR21WUyBnsdMcn,Velvet Portraits,spotify:album:4PCIOf8X75vWdD1PbLpg3c,2016-04-01,"Curly Martin (feat. Robert Glasper, Thundercat & Ronald Bruner Jr)",spotify:track:7zmzkaT8Fakbh8mnXI1xcs
"Ronald Bruner, Jr.",spotify:artist:5uiYVTlSFQqK08L1MKuBnW,Velvet Portraits,spotify:album:4PCIOf8X75vWdD1PbLpg3c,2016-04-01,"Curly Martin (feat. Robert Glasper, Thundercat & Ronald Bruner Jr)",spotify:track:7zmzkaT8Fakbh8mnXI1xcs
Thundercat,spotify:artist:4frXpPxQQZwbCu3eTGnZEw,Velvet Portraits,spotify:album:4PCIOf8X75vWdD1PbLpg3c,2016-04-01,"Curly Martin (feat. Robert Glasper, Thundercat & Ronald Bruner Jr)",spotify:track:7zmzkaT8Fakbh8mnXI1xcs
Noname,spotify:artist:1EpyA68dKpjf7jXmQL88Hy,Telefone,spotify:album:18Scpsg5OV1iYNtSaCsjwz,2016-08-12,Bye Bye Baby,spotify:track:25FeM2rqMbcySLJ4dxS2iU
Daniel Caesar,spotify:artist:20wkVLutqVOYrc0kxFs7rA,Freudian,spotify:album:3xybjP7r2VsWzwvDQipdM0,2017-08-25,Loose,spotify:track:59acp1OhcvxwVBwQJBYKuX
Kanye West,spotify:artist:5K4W6rqBFWDnAN6FQUkS6x,ye,spotify:album:2Ek1q2haOnxVqhvVKqMvJe,2018-06-01,Ghost Town,spotify:track:7vgTNTaEz3CsBZ1N4YQalM
PARTYNEXTDOOR,spotify:artist:2HPaUgqeutzr3jx5a9WyDV,ye,spotify:album:2Ek1q2haOnxVqhvVKqMvJe,2018-06-01,Ghost Town,spotify:track:7vgTNTaEz3CsBZ1N4YQalM
Daniel Caesar,spotify:artist:20wkVLutqVOYrc0kxFs7rA,CASE STUDY 01,spotify:album:4mvxoogQn8p84Wz17zTHnJ,2019-06-28,OPEN UP,spotify:track:4QTwWQDW89udp0JDO2lmPI
Smino,spotify:artist:1ybINI1qPiFbwDXamRtwxD,blkswn,spotify:album:3bTjPEgPzm1XwXsNlMVHhs,2017-03-14,Ricky Millions,spotify:track:4RcIM9FCaFFlAfC6pMMb59
Drea Smith,spotify:artist:1ebVMnivusGKkKh6oqzmxL,blkswn,spotify:album:3bTjPEgPzm1XwXsNlMVHhs,2017-03-14,Ricky Millions,spotify:track:4RcIM9FCaFFlAfC6pMMb59
JID,spotify:artist:6U3ybJ9UHNKEdsH7ktGBZ7,Bruuuh (with Denzel Curry) [Remix],spotify:album:2VBF1VUAfb250CHkaReyAz,2021-02-05,Bruuuh (with Denzel Curry) - Remix,spotify:track:5LghBGmNUUwI2BvX2boIdK
Denzel Curry,spotify:artist:6fxyWrfmjcbj5d12gXeiNV,Bruuuh (with Denzel Curry) [Remix],spotify:album:2VBF1VUAfb250CHkaReyAz,2021-02-05,Bruuuh (with Denzel Curry) - Remix,spotify:track:5LghBGmNUUwI2BvX2boIdK
Noname,spotify:artist:1EpyA68dKpjf7jXmQL88Hy,Room 25,spotify:album:7oHM3Sj0l2nXAzGAxW0KOt,2018-09-14,With You,spotify:track:2FyPSCjAed2BEipHi0QLZk
James Blake,spotify:artist:53KwLdlmrlCelAZMaLVZqU,Assume Form,spotify:album:23dKNZpiadggKHrQgHLi3L,2019-01-18,Mile High (feat. Travis Scott & Metro Boomin),spotify:track:4cQrSREMqBSvJ8ZzBZjVb8
Travis Scott,spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY,Assume Form,spotify:album:23dKNZpiadggKHrQgHLi3L,2019-01-18,Mile High (feat. Travis Scott & Metro Boomin),spotify:track:4cQrSREMqBSvJ8ZzBZjVb8
Metro Boomin,spotify:artist:0iEtIxbK0KxaSlF7G42ZOp,Assume Form,spotify:album:23dKNZpiadggKHrQgHLi3L,2019-01-18,Mile High (feat. Travis Scott & Metro Boomin),spotify:track:4cQrSREMqBSvJ8ZzBZjVb8
Eryn Allen Kane,spotify:artist:5xI4mPixKfrCCspATqbpy3,Aviary: Act 1,spotify:album:7sVyk1fdhhiBcguh15NN3N,2015-11-17,Bass Song,spotify:track:75iIalBlg6g7krYDWAfFUT
