0,1,2,3,4,5,6
Bruno Mars,spotify:artist:0du5cEVh5yTK9QJze8zA0C,An Evening With Silk Sonic,spotify:album:0S0r2RFucaW9kVjBtcBOV1,2021-11-12,Silk Sonic Intro,spotify:track:62CeNjGbvQnpQvyyGXeeDU
Anderson .Paak,spotify:artist:3jK9MiCrA42lLAdMGUZpwa,An Evening With Silk Sonic,spotify:album:0S0r2RFucaW9kVjBtcBOV1,2021-11-12,Silk Sonic Intro,spotify:track:62CeNjGbvQnpQvyyGXeeDU
Silk Sonic,spotify:artist:6PvvGcCY2XtUcSRld1Wilr,An Evening With Silk Sonic,spotify:album:0S0r2RFucaW9kVjBtcBOV1,2021-11-12,Silk Sonic Intro,spotify:track:62CeNjGbvQnpQvyyGXeeDU
Jay Sean,spotify:artist:4pADjHPWyrlAF0FA7joK2H,All Or Nothing,spotify:album:2H66HrVR1UeMlAoSXpxUnk,2009-01-01,Do You Remember,spotify:track:6A5NlmBCsCGbJ27jHQgKV5
Sean Paul,spotify:artist:3Isy6kedDrgPYoTS1dazA9,All Or Nothing,spotify:album:2H66HrVR1UeMlAoSXpxUnk,2009-01-01,Do You Remember,spotify:track:6A5NlmBCsCGbJ27jHQgKV5
Lil Jon,spotify:artist:7sfl4Xt5KmfyDs2T3SVSMK,All Or Nothing,spotify:album:2H66HrVR1UeMlAoSXpxUnk,2009-01-01,Do You Remember,spotify:track:6A5NlmBCsCGbJ27jHQgKV5
Jay Sean,spotify:artist:4pADjHPWyrlAF0FA7joK2H,All Or Nothing,spotify:album:2H66HrVR1UeMlAoSXpxUnk,2009-01-01,Down,spotify:track:6cmm1LMvZdB5zsCwX5BjqE
Lil Wayne,spotify:artist:55Aa2cqylxrFIXC767Z865,All Or Nothing,spotify:album:2H66HrVR1UeMlAoSXpxUnk,2009-01-01,Down,spotify:track:6cmm1LMvZdB5zsCwX5BjqE
Smino,spotify:artist:1ybINI1qPiFbwDXamRtwxD,Rice & Gravy,spotify:album:36wnZ5BLa9une2D5URHMPd,2021-05-18,Rice & Gravy,spotify:track:6kwWXm5ykHYBnY2Dcxc9UZ
monte booker,spotify:artist:4p75GTNEXwsAAkpweMVtKo,Rice & Gravy,spotify:album:36wnZ5BLa9une2D5URHMPd,2021-05-18,Rice & Gravy,spotify:track:6kwWXm5ykHYBnY2Dcxc9UZ
Quinn XCII,spotify:artist:3ApUX1o6oSz321MMECyIYd,The Story of Us,spotify:album:7j7cqgeWmYH9PbKe3S5oJj,2017-09-15,Always Been You,spotify:track:7cWyFwAaxdK2HSRuiRkMjy
Taylor Swift,spotify:artist:06HL4z0CvFAxyc27GXpf02,Red (Taylor's Version),spotify:album:6kZ42qRrzov54LcAk4onW9,2021-11-12,Everything Has Changed (feat. Ed Sheeran) (Taylor’s Version),spotify:track:7qEUFOVcxRI19tbT68JcYK
Ed Sheeran,spotify:artist:6eUKZXaKkcviH0Ku9w2n3V,Red (Taylor's Version),spotify:album:6kZ42qRrzov54LcAk4onW9,2021-11-12,Everything Has Changed (feat. Ed Sheeran) (Taylor’s Version),spotify:track:7qEUFOVcxRI19tbT68JcYK
Noname,spotify:artist:1EpyA68dKpjf7jXmQL88Hy,Telefone,spotify:album:18Scpsg5OV1iYNtSaCsjwz,2016-08-12,"Shadow Man (feat. Phoelix, Smino & Saba)",spotify:track:1h2LHhmyAXi8tPNLi806JA
Phoelix,spotify:artist:2TKC2gVUNBUAlFqfLUoaj0,Telefone,spotify:album:18Scpsg5OV1iYNtSaCsjwz,2016-08-12,"Shadow Man (feat. Phoelix, Smino & Saba)",spotify:track:1h2LHhmyAXi8tPNLi806JA
Smino,spotify:artist:1ybINI1qPiFbwDXamRtwxD,Telefone,spotify:album:18Scpsg5OV1iYNtSaCsjwz,2016-08-12,"Shadow Man (feat. Phoelix, Smino & Saba)",spotify:track:1h2LHhmyAXi8tPNLi806JA
Saba,spotify:artist:7Hjbimq43OgxaBRpFXic4x,Telefone,spotify:album:18Scpsg5OV1iYNtSaCsjwz,2016-08-12,"Shadow Man (feat. Phoelix, Smino & Saba)",spotify:track:1h2LHhmyAXi8tPNLi806JA
Chance the Rapper,spotify:artist:1anyVhU62p31KFi8MEzkbf,Acid Rap,spotify:album:2VBcztE58pBKjIDS5oEgFh,2013-04-30,Cocoa Butter Kisses,spotify:track:0aMHIW1lqrulVCx0LLlr6a
VIC MENSA,spotify:artist:27w1NoOLMX7tJMYqcetPyG,Acid Rap,spotify:album:2VBcztE58pBKjIDS5oEgFh,2013-04-30,Cocoa Butter Kisses,spotify:track:0aMHIW1lqrulVCx0LLlr6a
Twista,spotify:artist:6vbY3hOaCAhC7VjucswgdS,Acid Rap,spotify:album:2VBcztE58pBKjIDS5oEgFh,2013-04-30,Cocoa Butter Kisses,spotify:track:0aMHIW1lqrulVCx0LLlr6a
Taylor Swift,spotify:artist:06HL4z0CvFAxyc27GXpf02,Red (Deluxe Edition),spotify:album:1KlU96Hw9nlvqpBPlSqcTV,2012-10-22,I Knew You Were Trouble.,spotify:track:0ciHz919LVKoH4zgxyMPZ9
Udit Narayan,spotify:artist:70B80Lwx2sxti0M1Ng9e8K,Dil Chahta Hai,spotify:album:3Hks2UVvtQT8Q9VHRAJUgI,2001-06-22,Jaane Kyon Log Pyar,spotify:track:2NouPVwXUlBF0wDm5bpAbp
Alka Yagnik,spotify:artist:3gBKY0y3dFFVRqicLnVZYz,Dil Chahta Hai,spotify:album:3Hks2UVvtQT8Q9VHRAJUgI,2001-06-22,Jaane Kyon Log Pyar,spotify:track:2NouPVwXUlBF0wDm5bpAbp
Shankar Mahadevan,spotify:artist:1SJOL9HJ08YOn92lFcYf8a,Dil Chahta Hai,spotify:album:3Hks2UVvtQT8Q9VHRAJUgI,2001-06-22,Dil Chahta Hai,spotify:track:2r1CHpKRDdzHGJScn5UqjX
Surfaces,spotify:artist:4ETSs924pXMzjIeD6E9b4u,Sheesh!,spotify:album:7aGQrZNnvPaOc0PVm7yuc5,2021-08-20,Sheesh!,spotify:track:3ddNKnYpVx0uI8vcwbTQ5Y
Tai Verdes,spotify:artist:2kCO8LXN1usaOPL3iEE28I,Sheesh!,spotify:album:7aGQrZNnvPaOc0PVm7yuc5,2021-08-20,Sheesh!,spotify:track:3ddNKnYpVx0uI8vcwbTQ5Y
Taylor Swift,spotify:artist:06HL4z0CvFAxyc27GXpf02,Red (Taylor's Version),spotify:album:6kZ42qRrzov54LcAk4onW9,2021-11-12,All Too Well (Taylor's Version),spotify:track:3nsfB1vus2qaloUdcBZvDu
Smino,spotify:artist:1ybINI1qPiFbwDXamRtwxD,NOIR,spotify:album:5rVlqi2fHOmWB764N8PsWF,2018-11-08,MERLOT,spotify:track:3zHO7vkTm5PohK1ISB1N2a
Terrace Martin,spotify:artist:7MNEVabc4cs19CbzAFZmXz,DRONES,spotify:album:1cSZDrpp0lic8Y70I3JGUa,2021-11-05,"Drones (feat. Kendrick Lamar, Snoop Dogg, Ty Dolla $ign & James Fauntleroy)",spotify:track:3zdsJOO5FIAgukJUMgboV8
James Fauntleroy,spotify:artist:5ooSG9S0glqP5ZrqqaHBvT,DRONES,spotify:album:1cSZDrpp0lic8Y70I3JGUa,2021-11-05,"Drones (feat. Kendrick Lamar, Snoop Dogg, Ty Dolla $ign & James Fauntleroy)",spotify:track:3zdsJOO5FIAgukJUMgboV8
Ty Dolla $ign,spotify:artist:7c0XG5cIJTrrAgEC3ULPiq,DRONES,spotify:album:1cSZDrpp0lic8Y70I3JGUa,2021-11-05,"Drones (feat. Kendrick Lamar, Snoop Dogg, Ty Dolla $ign & James Fauntleroy)",spotify:track:3zdsJOO5FIAgukJUMgboV8
Kendrick Lamar,spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg,DRONES,spotify:album:1cSZDrpp0lic8Y70I3JGUa,2021-11-05,"Drones (feat. Kendrick Lamar, Snoop Dogg, Ty Dolla $ign & James Fauntleroy)",spotify:track:3zdsJOO5FIAgukJUMgboV8
Snoop Dogg,spotify:artist:7hJcb9fa4alzcOq3EaNPoG,DRONES,spotify:album:1cSZDrpp0lic8Y70I3JGUa,2021-11-05,"Drones (feat. Kendrick Lamar, Snoop Dogg, Ty Dolla $ign & James Fauntleroy)",spotify:track:3zdsJOO5FIAgukJUMgboV8
Aminé,spotify:artist:3Gm5F95VdRxW3mqCn8RPBJ,Good For You,spotify:album:3lajefIuUk4SfzqVBSJy8p,2017-07-28,Spice Girl,spotify:track:4HW5kSQ8M2IQWZhSxERvla
Taylor Swift,spotify:artist:06HL4z0CvFAxyc27GXpf02,Red (Taylor's Version),spotify:album:6kZ42qRrzov54LcAk4onW9,2021-11-12,Red (Taylor's Version),spotify:track:4OAuvHryIVv4kMDNSLuPt6
BROCKHAMPTON,spotify:artist:1Bl6wpkWCQ4KVgnASpvzzA,SATURATION,spotify:album:67smHJOf5YlFwad6dAlppm,2017-06-09,FACE,spotify:track:5bknBRjKJZ643DAN2w8Yoy
Taylor Swift,spotify:artist:06HL4z0CvFAxyc27GXpf02,Red (Taylor's Version),spotify:album:6kZ42qRrzov54LcAk4onW9,2021-11-12,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),spotify:track:5enxwA8aAbwZbf5qCHORXi
